appShow,pcShow,workYear,education,financeStage,city,companyLogo,district,companyId,explain,industryField,companyLabelList,score,adWord,formatCreateTime,companySize,positionName,jobNature,deliver,positionAdvantage,imState,companyFullName,createTime,positionId,companyShortName,salary,publisherId,businessZones,plus,lastLogin,gradeDescription,approve,promotionScoreExplain
0,0,3-5年,大专,上市公司,北京,i/image/M00/4E/B3/CgqKkVesJfyARVP3AAA1XFaXbLA533.jpg,,143390,,"教育,移动互联网","定期体检,午餐补助,带薪年假,六险一金",0,0,13:47发布,500-2000人,PHP开发工程师,全职,0,"六险一金,餐补,办公环境好,上市公司",today,全美在线（北京）教育科技股份有限公司,2016-12-22 13:47:02,2681509,ATA,8k-15k,5885185,,,1482384968000,,1,
0,0,3-5年,大专,初创型(不需要融资),上海,i/image/M00/59/62/CgqKkVfXtdKAFMIkAAAR-d6Ib34712.png,,114188,,"移动互联网,企业服务","年终分红,午餐补助,带薪年假,绩效奖金",0,0,13:47发布,15-50人,高级PHP工程师,全职,0,免费水果+季度奖金+年终奖 +宽松工作环境,today,上海仁车相随信息科技有限公司,2016-12-22 13:47:01,2681508,仁车相随,15k-30k,3856429,,,1482383859000,,1,
0,0,5-10年,本科,成长型(不需要融资),北京,image1/M00/29/9B/Cgo8PFVmeKuALRYsAABLEN7MAPE330.png,朝阳区,72757,,"移动互联网,电子商务","带薪年假,绩效奖金,岗位晋升,领导好",0,0,13:46发布,150-500人,高级JAVA开发工程师,全职,0,五险一金 双休 年底双薪 法定节假日,today,北京顺驰天创信息技术有限公司,2016-12-22 13:46:40,2659845,顺驰天创,15k-25k,4447332,"朝阳门,朝外,工体",,1482385585000,,0,
0,0,1-3年,本科,初创型(天使轮),成都,i/image/M00/65/AD/Cgp3O1gIPNqANiZoAABZytophPY530.png,高新区,133637,,游戏,,0,0,13:46发布,15-50人,原画设计师,全职,0,轻度游戏海外自研自运，已拿到500W天使投资,disabled,四川秦虎科技有限公司,2016-12-22 13:46:32,2653517,秦虎科技,6k-8k,5244710,,,1482385328000,,0,
0,0,5-10年,大专,初创型(天使轮),成都,i/image/M00/38/C6/CgqKkVdjx-WAQTNSAAAMKLJMEi0491.png,,134731,,"O2O,电子商务",,0,0,13:46发布,150-500人,ERP开发工程师,全职,0,"五险一金,带薪年假,绩效奖金,周末双休",today,四川一品通电子商务有限公司,2016-12-22 13:46:29,2681506,一品通,10k-20k,5367344,,,1482384715000,,1,
0,0,1-3年,本科,成长型(B轮),北京,image1/M00/00/41/Cgo8PFTUXMuAeMAuAABAtFBcbOM313.png,朝阳区,29496,,"移动互联网,金融","13~15薪,晋升空间大,定期体检,能力定薪",0,0,13:46发布,150-500人,机器学习,全职,0,六险一金 补充医疗 自助午餐 年度体检,disabled,北京闪银奇异科技有限公司,2016-12-22 13:46:16,2648057,闪银奇异,15k-30k,3554657,"团结湖,朝阳公园,三里屯",,1482385534000,,1,
0,0,1年以下,大专,上市公司,北京,image1/M00/1B/04/CgYXBlUeSseAOHukAABUAB2Jjg8772.jpg,丰台区,55231,,电子商务,"技能培训,节日礼物,专项奖金,绩效奖金",0,0,13:46发布,500-2000人,交易专员 上市公司+五险一金,全职,0,"上市公司,五险一金",today,北京国联视讯信息技术股份有限公司,2016-12-22 13:46:14,2642988,国联资源网,5k-8k,2159983,,,1482384535000,,1,
0,0,1-3年,大专,成长型(A轮),北京,i/image/M00/6B/73/Cgp3O1gaubuAHCLRAAAyDwUAtLw716.png,海淀区,33291,,"移动互联网,社交网络","专项奖金,股票期权,屌炸天,单麦芽威士忌",0,0,13:45发布,50-150人,电话销售,全职,0,周末双休、五险一金、高提成、晋升空间大,today,北京大梦科技有限公司,2016-12-22 13:45:58,2540354,大梦科技,6k-10k,5769668,"西直门,北下关,展览路",,1482374919000,,1,
0,0,1-3年,不限,初创型(不需要融资),北京,images/logo_default.png,丰台区,156833,,电子商务,,0,0,13:45发布,少于15人,外贸业务员,全职,0,能力突出所有条件都可以商量,disabled,北京富源恒泰科技有限公司,2016-12-22 13:45:27,2588117,富源恒泰,3k-6k,6009914,卢沟桥,,1482296112000,,0,
0,0,1-3年,大专,初创型(未融资),杭州,i/image/M00/75/9A/Cgp3O1g0BKWAfOjVAAAfm_gF_Iw922.jpg,江干区,159009,,"移动互联网,电子商务",,0,0,13:45发布,50-150人,天猫运营,全职,0,每年2次加薪，业绩提销售额3%-5% 月入过万,today,杭州噗通电子商务有限公司,2016-12-22 13:45:14,2600671,噗通电商,6k-12k,6524028,,,1482379280000,,0,
