appShow,pcShow,workYear,education,financeStage,city,companyLogo,district,companyId,explain,industryField,companyLabelList,score,adWord,formatCreateTime,companySize,positionName,jobNature,deliver,positionAdvantage,imState,companyFullName,createTime,positionId,companyShortName,salary,publisherId,businessZones,plus,lastLogin,gradeDescription,approve,promotionScoreExplain
0,0,1-3年,本科,上市公司,北京,i/image/M00/00/6D/CgqKkVZJj_qAIz4tAAAZsDXnarY482.jpg,,23727,,"移动互联网,电子商务","美女多多,带薪年假,绩效奖金,岗位晋升",0,0,11:26发布,2000人以上,研发工程师,全职,0,从事数据库类产品研发，待遇从优、前景广阔,disabled,同方知网（北京）技术有限公司,2016-12-06 11:26:22,2637921,知网,7k-10k,5196215,,,1480993482000,,1,
0,0,3-5年,大专,成熟型(不需要融资),广州,image1/M00/00/3E/Cgo8PFTUXL6AKSnZAAAYd7GCJUk257.png,,28482,,"生活服务,硬件","绩效奖金,五险一金,通讯津贴,交通补助",0,0,11:26发布,2000人以上,资深营销产品运营专员,全职,0,"业务创新,钱多,包住宿",today,欧派家居集团有限公司,2016-12-06 11:26:11,2637920,欧派,10k-20k,6484481,,,1480994184000,,0,
0,0,3-5年,大专,成长型(不需要融资),西安,i/image/M00/55/73/Cgp3O1fHfJiAU7MBABCb2sOzWfQ483.png,,125577,,"企业服务,其他","交通补助,绩效奖金,通讯津贴,带薪年假",0,0,11:26发布,50-150人,区域销售经理,全职,0,扁平化管理 足够大的发展平台 领导nice,disabled,陕西公众仕达软件科技有限公司,2016-12-06 11:26:01,2637919,公众仕达,6k-12k,1934401,,,1480993963000,,1,
0,0,5-10年,本科,成熟型(不需要融资),深圳,image1/M00/15/78/Cgo8PFUKeQGAJOtpAAAvLaYcXho867.png,,58407,,"电子商务,企业服务","节日礼物,带薪年假,绩效奖金,岗位晋升",0,0,11:25发布,2000人以上,云计算平台Iaas工程师,全职,0,"前100强,高端项目,福利超好,美式氛围",today,日立咨询（中国）有限公司,2016-12-06 11:25:47,2637918,日立咨询中国,35k-60k,5924099,,,1480994454000,,1,
0,0,1-3年,本科,成长型(不需要融资),北京,image1/M00/00/05/Cgo8PFTUWAOAYJkXAAC-mLoSPQk193.jpg,朝阳区,1331,,"移动互联网,广告营销","年底双薪,专项奖金,带薪年假,绩效奖金",0,0,11:25发布,150-500人,客户经理,全职,0,发展空间大,today,多盟睿达科技（中国）有限公司,2016-12-06 11:25:46,2610769,多盟,8k-13k,8455,"大山子,酒仙桥",,1480993994000,,1,
0,0,1年以下,不限,初创型(未融资),北京,i/image/M00/79/B0/Cgp3O1g-POWAG5U8AAI79I3_PQc113.jpg,,160133,,"生活服务,分类信息",,0,0,11:25发布,少于15人,前端开发,全职,0,公司美女多,today,北京小二信息技术有限公司,2016-12-06 11:25:46,2637917,二信息技术有限公司,6k-8k,6516585,,,1480993312000,,0,
0,0,3-5年,本科,成长型(不需要融资),上海,i/image/M00/61/AB/CgqKkVf8f_GAGVIZAACI-KTvIDM961.jpg,,151338,,"金融,其他",,0,0,11:25发布,50-150人,后端开发工程师,全职,0,五险一金，周末双休，交通便捷,today,上海斟学商务信息咨询中心（有限合伙）,2016-12-06 11:25:23,2637916,WST海外求职,10k-15k,5030823,,,1480993180000,,0,
0,0,1-3年,大专,成熟型(不需要融资),北京,i/image/M00/7C/A4/CgqKkVhGJReATOInAAAuLjkqra8139.jpg,,161082,,"电子商务,金融",,0,0,11:25发布,500-2000人,会计助理/文员,全职,0,"工作环境好,发展前景好,带薪年假,员工旅游",today,汉基投资集团,2016-12-06 11:25:14,2637915,汉基投资集团,4k-6k,5077888,,,1480993644000,,0,
0,0,应届毕业生,大专,初创型(未融资),广州,i/image/M00/7C/A5/CgqKkVhGJwiAWhh5AABkCyUEhNs442.jpg,,160307,,"移动互联网,其他","绩效奖金,午餐补助,带薪年假,技能培训",0,0,11:25发布,15-50人,汽车内容编辑实习生,实习,0,"好车多多,媒体,一线",disabled,广州车里车外信息科技有限公司,2016-12-06 11:25:07,2637913,车里车外,1k-2k,6571989,,,1480992471000,,0,
0,0,不限,不限,成熟型(不需要融资),上海,image1/M00/3F/E1/Cgo8PFXBy16AAQRMAAAJuRUQrVk370.jpg?cc=0.578462898350476,黄浦区,87532,,"移动互联网,教育","年底双薪,专项奖金,带薪年假,绩效奖金",0,0,11:25发布,500-2000人,ERP运维,全职,0,"五险一金,年终双薪,餐饮补贴,通讯补贴",today,朗阁教育集团（上海总部）,2016-12-06 11:25:02,2579959,朗阁教育集团,5k-6k,5639386,"新天地,淮海路,茂名南路",,1480926070000,,0,
0,0,3-5年,本科,上市公司,重庆,i/image/M00/00/CE/Cgp3O1ZWc22AMRjtAABNqZ7A0Qk892.jpg,,22766,,移动互联网,"绩效奖金,五险一金,交通补助,通讯津贴",0,0,11:24发布,2000人以上,高级java开发工程师,全职,0,"上市公司,福利好,稳定行业",today,中兴软创科技股份有限公司,2016-12-06 11:24:58,2637911,中兴软创,7k-12k,6140027,,,1480993299000,,1,
0,0,不限,硕士,成长型(B轮),北京,i/image/M00/02/63/Cgp3O1aN7WyAYaLsAABLFIZFVyk943.jpg,,21408,,"移动互联网,社交网络","股票期权,五险一金,带薪年假,节日礼物",0,0,11:24发布,50-150人,研发实习生-项目管理方向,实习,0,外企零食下午茶-弹性工作不打卡-丹棱SOHO,today,北京嗒嗒之星网络科技有限责任公司,2016-12-06 11:24:58,2637912,tataUFO,3k-4k,245799,,,1480994391000,,1,
