appShow,pcShow,workYear,education,financeStage,city,companyLogo,district,companyId,explain,industryField,companyLabelList,score,adWord,formatCreateTime,companySize,positionName,jobNature,deliver,positionAdvantage,imState,companyFullName,createTime,positionId,companyShortName,salary,publisherId,businessZones,plus,lastLogin,gradeDescription,approve,promotionScoreExplain
0,0,1-3年,大专,成熟型(不需要融资),深圳,image1/M00/20/7D/Cgo8PFU3ZAuAJW69AAAyKn__lSM868.jpg,,63536,,"移动互联网,硬件","技能培训,专项奖金,带薪年假,绩效奖金",0,0,17:19发布,2000人以上,Android项目开发工程师,全职,0,"带薪年假,加班补助,五险一金",today,深圳市中控生物识别技术有限公司,2016-12-21 17:19:22,2679652,中控科技,8k-10k,6064483,,,1482311798000,,1,
0,0,1-3年,本科,上市公司,沈阳,i/image/M00/3E/98/CgqKkVd01hSAEpvsAACCH1lkQmM663.jpg,沈河区,126827,,"数据服务,金融","年底双薪,绩效奖金,定期体检,带薪年假",0,0,17:19发布,15-50人,售后技术工程师,全职,0,五险一金 节假日福利 年终奖等其他福利,today,北京盛世全景科技股份有限公司,2016-12-21 17:19:07,2672420,盛世全景,6k-12k,4915279,"北站,惠工,昆山",,1482311559000,,0,
0,0,1年以下,本科,成长型(B轮),北京,i/image/M00/6B/73/Cgp3O1gaui-AIBdnAAAhYV8XABM852.png,,399,,移动互联网,"移动互联网,五险一金,扁平管理,领导好",0,0,17:18发布,15-50人,市场运营实习生,全职,0,"免费中晚餐,大牛指导,扁平管理,可转正",today,北京爱声声科技有限公司,2016-12-21 17:18:48,2679651,节操精选,2k-4k,1261,,,1482309469000,,1,
0,0,1-3年,本科,初创型(未融资),北京,i/image/M00/5B/D3/Cgp3O1fiORuATFWbAAAuwS_Tc24046.png,,148981,,移动互联网,"专项奖金,绩效奖金,交通补助,通讯津贴",0,0,17:18发布,15-50人,商务经理,全职,0,福利奖金、免费食堂、五险等,disabled,北京华信易达科技发展有限公司,2016-12-21 17:18:35,2679650,哎呦味,8k-10k,3278868,,,1482311735000,,1,
0,0,1-3年,本科,初创型(不需要融资),杭州,i/image/M00/54/C3/CgqKkVfE__qAFIx4AAR16WfxTdA819.png,西湖区,146138,,"生活服务,电子商务","弹性工作,领导好,岗位晋升,五险一金",0,0,17:18发布,15-50人,运营专员,全职,0,"五险一金,餐补,弹性工作,高温补贴",today,凤翮正道文化发展有限公司,2016-12-21 17:18:32,2631454,凤翮正道,6k-12k,886197,文三路,,1482306251000,,0,
0,0,1-3年,本科,成长型(B轮),深圳,i/image/M00/37/D8/Cgp3O1dhMHyABop1AAAPLpMX1-Y351.jpg,,22233,,"移动互联网,电子商务","五险一金,带薪年假,节日礼物,年度旅游",0,0,17:18发布,500-2000人,交互设计师,全职,0,团队氛围 海量用户,today,深圳市找库科技有限公司,2016-12-21 17:18:32,2679649,SheIn,8k-16k,3701591,,,1482307603000,,1,
0,0,3-5年,大专,成长型(A轮),广州,i/image/M00/68/EF/CgqKkVgR31iAAKXrAACdAEs012g801.png,天河区,50713,,移动互联网,"股票期权,扁平管理,领导好,五险一金",0,0,17:18发布,50-150人,高级Web前端工程师,全职,0,"团队好,老板好,福利好,有发展",today,广州精明购网络科技有限公司,2016-12-21 17:18:24,2637659,广州智选网络科技有限公司,15k-20k,984299,,,1482307623000,,1,
0,0,3-5年,大专,成长型(A轮),杭州,i/image/M00/02/5B/CgqKkVaM0AOAU9N5AAB572Z8nAE016.jpg,,111983,,企业服务,,0,0,17:18发布,50-150人,产品经理,全职,0,高薪 双休 晋升空间大 妹子多,disabled,杭州君方科技有限公司,2016-12-21 17:18:09,2679647,君方科技,15k-25k,3691470,,,1482311031000,,0,
0,0,不限,大专,初创型(未融资),北京,i/image/M00/5E/26/Cgp3O1fqMkeAGWqMAAAZkWSLOUg628.jpg,,128298,,"移动互联网,教育",,0,0,17:18发布,150-500人,初级开发工程师,全职,0,"晋升空间大,公司氛围好,领导好",disabled,中软高科北京科技有限公司,2016-12-21 17:18:08,2679646,中软高科,3k-6k,6572092,,,1482310947000,,1,
0,0,1-3年,本科,成长型(B轮),北京,image1/M00/3D/79/CgYXBlW4esGALwfxAAA54wwdGP8713.jpg,,4502,,"移动互联网,企业服务","年终分红,绩效奖金,年底双薪,股票期权",0,0,17:17发布,50-150人,Node后端高级程序员,全职,0,核心技术，进步空间，团队氛围，企业文化,today,北京世纪鼎点软件有限公司,2016-12-21 17:17:56,2661299,世纪鼎点,8k-16k,86788,,,1482310410000,,1,
0,0,1-3年,本科,上市公司,北京,i/image/M00/46/E3/Cgp3O1eN2JaAESTsAABXU_egeWg508.png,,7835,,移动互联网,"年底双薪,节日礼物,技能培训,绩效奖金",0,0,17:17发布,2000人以上,C++开发工程师,全职,0,待遇优厚 发展前景 技术氛围浓厚 自助三餐,today,北京金山软件有限公司,2016-12-21 17:17:54,2587985,金山办公软件,15k-22k,105405,,,1482310718000,,1,
0,0,不限,大专,成长型(不需要融资),北京,image1/M00/44/FA/Cgo8PFXZXCeAJLMOAABjJ50WuHM394.png,,91513,,教育,"技能培训,节日礼物,专项奖金,带薪年假",0,0,17:17发布,50-150人,课程顾问,全职,0,薪酬福利待遇好，今生速度快。,disabled,天津天谱弘盛企业管理咨询有限公司济南分公司,2016-12-21 17:17:48,2679645,天谱教育集团,8K-12K,6685682,,,1482311225000,,0,
0,0,1-3年,大专,成长型(A轮),杭州,i/image/M00/5A/63/Cgp3O1feMeuAFxSVAAJaEtXHWQ8875.png,,148579,,"移动互联网,企业服务","股票期权,五险一金,岗位晋升,交通便利",0,0,17:17发布,50-150人,品类运营,全职,0,"一线江景,项目好,双休,氛围好",today,杭州逗妮开心科技有限公司,2016-12-21 17:17:35,2679644,逗妮开心,5k-9k,3762948,,,1482311076000,,1,
0,0,3-5年,本科,成长型(A轮),深圳,i/image/M00/83/3B/Cgp3O1hZIkGAapqfAACFcoUB5_g241.png,,139502,,"金融,企业服务","带薪年假,绩效奖金,股票期权",0,0,17:17发布,15-50人,UI设计师,全职,0,"高薪,自由度高,BOSS好",disabled,前海企保科技（深圳）有限公司,2016-12-21 17:17:34,2679643,前海企保,12k-22k,6679193,,,1482311446000,,1,
