145417,1-3年,大专,全职,网络推广,2293892,2016-10-24 14:19:32,上海,i/image/M00/53/0F/CgqKkVe9auOAc32EAADLcvClzQA705.png,"移动互联网,教育",五险二金，工作氛围好，住宿补贴,4k-8k,150-500人,1,成长型(A轮),绩效奖金|带薪年假|交通补助|通讯津贴,松江区,上海洛育教育科技有限公司,0,5976492,,,0,0,0,,,松江新城|方松|松江大学城,disabled,1475913568000,14:19发布,0,上海洛育教育科技有限公司
83216,3-5年,本科,全职,Java工程师,2191382,2016-10-24 14:06:30,上海,image2/M00/06/8B/CgpzWlX6YayAIG71AABrF-1IdxI591.png,"移动互联网,其他",六险一金，节日福利，晋升空间，出差补贴等,10k-20k,500-2000人,1,成熟型(不需要融资),节日礼物|带薪年假|岗位晋升|管理规范,,上海睿民,0,3200472,,,0,0,0,,,,today,1477275691000,14:06发布,0,上海睿民互联网科技有限公司
144812,1-3年,大专,全职,Flash设计师,2344304,2016-10-24 14:28:54,西安,i/image/M00/51/2E/Cgp3O1e2dq2AGdR5AADJHHOiqKc936.jpg,"教育,移动互联网","五险一金,带薪年假,员工旅游,加班补助",4k-6k,15-50人,0,初创型(不需要融资),,莲湖区,西安聚力,0,5946771,,,0,0,0,,,西稍门|劳动公园|桃园路,sevenDays,1476847728000,14:28发布,0,西安聚力互信信息科技有限公司
39678,1-3年,本科,全职,交互设计师,2130082,2016-10-24 14:21:23,深圳,image1/M00/00/61/Cgo8PFTUXVCABnleAACGqO3tXWY837.png,移动互联网,五险一金+年底双薪+年终奖+双休+体检,8k-15k,15-50人,1,初创型(天使轮),技能培训|年底双薪|带薪年假|年度旅游,福田区,无何有,0,1317254,,,0,0,0,,,竹子林|华侨城|桃源村,today,1477290079000,14:21发布,0,深圳市无何有网络科技有限公司
22013,3-5年,不限,全职,高级测试工程师,2138277,2016-10-24 14:47:09,杭州,image1/M00/00/29/CgYXBlTUWJKAFo7OAABLZq93vaM417.jpg,"移动互联网 ,O2O",超长春节假期，发展广阔，工作氛围open,10k-20k,150-500人,1,成长型(B轮),股票期权|BAT技术|年度旅游|五险一金,拱墅区,二维火,0,2128711,,,0,0,0,,,小河|和睦|湖墅南路,disabled,1477291619000,14:47发布,0,杭州迪火科技有限公司
22013,3-5年,不限,全职,测试开发,2138280,2016-10-24 14:47:08,杭州,image1/M00/00/29/CgYXBlTUWJKAFo7OAABLZq93vaM417.jpg,"移动互联网 ,O2O",超长春节假期，发展广阔，工作氛围open,10k-20k,150-500人,1,成长型(B轮),股票期权|BAT技术|年度旅游|五险一金,拱墅区,二维火,0,2128711,,,0,0,0,,,小河|和睦|湖墅南路,disabled,1477291619000,14:47发布,0,杭州迪火科技有限公司
113844,1-3年,本科,全职,QC软件测试工程师,2416809,2016-10-24 14:55:52,上海,i/image/M00/03/47/CgqKkVay042APZcGAAATiiui77s034.png,"移动互联网,信息安全",六险一金、培训、英语、旅游、出国、体检,7k-10k,50-150人,0,成长型(不需要融资),带薪年假|定期体检|弹性工作|年度旅游,浦东新区,UniqueSoft,0,3810728,,,0,0,0,,,,today,1477228506000,14:55发布,0,友励科软件（上海）有限公司
93312,5-10年,大专,全职,搜索算法,2375855,2016-10-24 14:20:25,上海,image2/M00/01/9C/CgqLKVXlCa2ANuqCAAANwB8M6Dg014.jpg?cc=0.8950956009794027,"金融,数据服务",丰厚年终将,25k-35k,150-500人,1,成长型(B轮),节日礼物|年底双薪|带薪年假|绩效奖金,杨浦区,蜜蜂数据,0,3866088,,,0,0,0,,,五角场|大学区|长海医院,today,1477287104000,14:20发布,0,上海盈蜂征信服务有限公司
42789,不限,本科,全职,运营专员,2252982,2016-10-24 14:22:10,北京,image1/M00/3A/B9/CgYXBlWuIsuAR-aCAAAWlRLxG8U596.jpg,电子商务,五险一金+绩效奖金+补助+补充医疗,3k-5k,150-500人,1,上市公司,年底双薪|免费班车|带薪年假|绩效奖金,海淀区,天尧信息,0,970903,,,0,0,0,,,西北旺|马连洼|上地,today,1477289274000,14:22发布,0,北京天尧
136424,1-3年,大专,全职,Unity3D初级开发工程师,2023617,2016-10-24 14:02:14,桂林,i/image/M00/3D/7C/Cgp3O1dyMoiASW7vAABLvyaLeL0241.png,"游戏,移动互联网",双休，带薪年假，节日福利，项目奖金,3k-6k,少于15人,0,初创型(未融资),带薪年假|弹性工作|年度旅游|扁平管理,,杉帝网络,0,5300540,,,0,0,0,,,,today,1477288793000,14:02发布,0,桂林市杉帝网络技术有限公司
45546,3-5年,本科,全职,高级教研员,1721718,2016-10-24 14:15:21,北京,i/image/M00/00/99/CgqKkVZOy02AfDhVAAAxMb59gx4978.png,教育,五险一金；绩效+奖金,8k-15k,15-50人,1,成长型(A轮),带薪年假|绩效奖金|专项奖金|领导好,丰台区,爱果实,0,1326234,,,0,0,0,,,嘉园|马家堡|草桥,disabled,1477289708000,14:15发布,0,爱果实（北京）教育科技有限公司
